time_tick,lac_X_value,lac_Y_value,lac_Z_value
8.70199,15.040167,-7.173625,9.494799
8.732118,5.609774,-6.816399,7.767918
8.772289,-7.448959,-9.624182,10.162997
8.802417,-27.031448,-21.446252,8.320428
8.852631,-36.908165,-8.253879,0.788227
8.872716,-26.684638,4.780332,-1.113803
8.902844,-15.045833,19.058704,-4.728813
8.932973,-3.71724,22.49935,-4.97412
8.973144,4.238301,24.444848,-2.870459
9.003272,4.254939,27.761352,-1.96665
9.0334,6.904988,23.734606,-1.243296
9.073571,4.518486,17.644236,-2.85991
9.103699,-3.04257,11.904239,-5.293678
9.133828,-17.270161,-5.142585,-3.198834
9.173999,-34.753863,-10.046912,2.087116
9.204127,-26.706503,-12.659009,6.667842
9.234255,-11.783025,-10.211225,5.600195
9.274426,8.783332,-8.371125,3.553824
9.304554,11.414011,-6.114647,2.260337
9.334683,15.357498,-5.690638,4.531326
9.374854,19.548379,-9.915779,4.356919
9.404982,15.643278,-8.013673,5.957488
9.43511,9.201909,-5.451805,7.416742
9.465242,-1.891649,-7.930642,9.51365
9.505413,-21.194849,-15.672462,10.429823
9.535542,-37.074463,-8.241907,5.951842
9.56567,-34.999839,-2.667512,2.750691
9.605841,-15.442172,13.208775,-2.20589
9.635969,-4.351806,19.17365,-4.172472
9.666097,4.109331,18.093174,-2.636142
9.706268,10.015649,20.506038,-4.033457
9.736397,12.573105,21.940314,-4.359768
9.766525,10.521419,17.400895,-5.027973
9.806696,4.368463,13.914411,-6.248888
9.836824,-9.93585,6.977965,-3.406536
9.866952,-34.182456,-4.28698,0.985005
9.907123,-24.422563,-7.562027,5.110994
9.937252,-8.621826,-4.440753,4.837415
9.96738,0.487429,-5.037827,4.334665
10.007551,4.414129,-7.244031,1.726967
10.037679,8.176033,-6.369584,3.264517
10.067807,12.067949,-7.965254,2.661257
10.107979,11.916236,-4.761879,2.978451
